image:		Algorithme naif:	Algorithme optimisé:
0		0.0028851750130093655	0.004501615848153342
1		0.0062464710737695234	0.010497580080201702
2		1.059739164690073	4.061047410988084
3		1.833371857650475	3.4331085488818265
4		4.868523815337736	8.655220795702977
5		1.459479728109199	4.091194763537741
6		4.482694679179365	10.416106483583306
7		6.101156954389975	10.042951255082741			
8		7.140349026362092	15.369357323512201
9		40.6351284874879	179.92582705782087					
10		IndexError (?)		242.58593905887662
	
